"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"54830","2025-09-23 23:18:36 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08659","1000.00","","","1.08679","","1.08639","","","","","","","","",""
"54831","2025-09-23 23:18:36 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08679","1000.00","","","1.08699","","1.08659","","","","","","","","",""
"54832","2025-09-23 23:18:36 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08699","1000.00","","","1.08719","","1.08679","","","","","","","","",""
"54833","2025-09-23 23:18:37 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08719","1000.00","","","1.08739","","1.08699","","","","","","","","",""
"54834","2025-09-23 23:18:37 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08739","1000.00","","","1.08759","","1.08719","","","","","","","","",""
"54835","2025-09-23 23:18:38 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08759","1000.00","","","1.08779","","1.08739","","","","","","","","",""
"54836","2025-09-23 23:18:38 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08779","1000.00","","","1.08799","","1.08759","","","","","","","","",""
"54837","2025-09-23 23:18:38 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08799","1000.00","","","1.08819","","1.08779","","","","","","","","",""
"54838","2025-09-23 23:18:39 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08819","1000.00","","","1.08839","","1.08799","","","","","","","","",""
"54839","2025-09-23 23:18:39 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08839","1000.00","","","1.08859","","1.08819","","","","","","","","",""
"54840","2025-09-23 23:18:39 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08859","1000.00","","","1.08879","","1.08839","","","","","","","","",""
"54841","2025-09-23 23:18:40 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08879","1000.00","","","1.08899","","1.08859","","","","","","","","",""
"54842","2025-09-23 23:18:40 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08899","1000.00","","","1.08919","","1.08879","","","","","","","","",""
"54843","2025-09-23 23:18:40 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08919","1000.00","","","1.08939","","1.08899","","","","","","","","",""
"54844","2025-09-23 23:18:41 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08939","1000.00","","","1.08959","","1.08919","","","","","","","","",""
"54845","2025-09-23 23:18:41 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08959","1000.00","","","1.08979","","1.08939","","","","","","","","",""
"54846","2025-09-23 23:18:42 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08979","1000.00","","","1.08999","","1.08959","","","","","","","","",""
"54847","2025-09-23 23:18:42 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08999","1000.00","","","1.09019","","1.08979","","","","","","","","",""
